id,HR,HR.95L,HR.95H,pvalue
COL1A1|RAB13,3.641925673,2.698048211,4.916006524,3.05E-17
LAPTM5|RND2,4.016329314,2.908425017,5.546266815,3.09E-17
COL1A1|NXPH3,4.02053933,2.910747985,5.553464809,3.09E-17
SHANK2|S100A11,0.176777426,0.118227703,0.264322639,3.10E-17
NOD2|GRID2,3.820607033,2.798919821,5.215239819,3.10E-17
KMO|PRKCG,3.808207428,2.791942172,5.194392621,3.10E-17
BID|TNFRSF14,0.206626975,0.14328151,0.297977783,3.13E-17
ATG7|PKP4,4.449908205,3.146280261,6.293680598,3.16E-17
ADCYAP1R1|ITGB4,0.22014256,0.154887106,0.312890777,3.25E-17
BMPR1A|HMOX1,0.210859491,0.146877653,0.30271266,3.25E-17
SHANK2|CHRNA1,0.229400082,0.162951515,0.322945126,3.25E-17
ELN|RND2,3.972708178,2.883426909,5.473490663,3.27E-17
S100A9|PIGZ,3.661727234,2.708405461,4.950605267,3.30E-17
TNFRSF11B|BICC1,4.664624979,3.261477473,6.671432311,3.31E-17
CLIC4|RND2,5.231368858,3.561561835,7.684050255,3.31E-17
GCLC|SNX10,0.269035106,0.198292613,0.365015556,3.33E-17
ELANE|DHRS2,4.842314203,3.356188264,6.986499264,3.35E-17
CASP6|RELN,3.75882556,2.763140974,5.113300305,3.37E-17
DDX17|MAPT,4.19562737,3.00634068,5.855387297,3.39E-17
PARP4|ABCC3,0.227300553,0.161082989,0.320738657,3.39E-17
BMP2|PSMD14,0.178270204,0.119389228,0.266190393,3.44E-17
CASP9|RECQL,0.23345782,0.166463332,0.32741477,3.46E-17
ERBB2|RAP2A,4.67895944,3.268423263,6.698233271,3.46E-17
NOD2|ABCC3,0.202463969,0.139653901,0.293523191,3.49E-17
COL1A2|PSMF1,3.624275595,2.686206781,4.889933895,3.58E-17
CASP3|CASP9,4.956165762,3.415404195,7.191997685,3.59E-17
ACTN1|BAG1,4.776263786,3.319800684,6.871706446,3.60E-17
PSMF1|TGFBI,0.24315015,0.174980077,0.33787844,3.64E-17
NOD1|TNFRSF12A,0.183820785,0.123933991,0.272645792,3.72E-17
CTSZ|DHTKD1,4.580844848,3.214522458,6.527918157,3.73E-17
PSMD14|MSR1,0.229628172,0.163008777,0.323473978,3.91E-17
RFC2|PSMD6,4.053380438,2.925727173,5.615661339,3.96E-17
SEMA6C|PSMD5,0.223572627,0.157707018,0.316946705,4.00E-17
PRKCB|ATG7,0.244713312,0.176283042,0.339707123,4.04E-17
RFC2|ATG5,3.995740978,2.893214389,5.518410949,4.13E-17
VEGFA|SIRT1,5.098663027,3.48777856,7.453559398,4.16E-17
TNFRSF14|GNL3L,3.868093917,2.821858519,5.302232712,4.20E-17
SSTR2|COL1A1,0.187883269,0.12722559,0.277460869,4.26E-17
BMP2|BGN,0.166051804,0.109247156,0.252392854,4.28E-17
CD70|DHRS2,4.053727035,2.924802654,5.618397141,4.31E-17
PRKACA|TGFBI,0.263885978,0.193410602,0.360041326,4.32E-17
GADD45G|SNX10,0.259877056,0.189787307,0.355851428,4.35E-17
FGF13|DPEP1,0.265848638,0.195173369,0.362116506,4.38E-17
SEMA6C|VAMP8,0.262579168,0.192214421,0.358702636,4.40E-17
PML|COL1A2,0.235435894,0.168011605,0.329918044,4.41E-17
PRKCB|MELK,0.239814226,0.171862395,0.3346332,4.47E-17
PTGER3|CHRNA1,0.241268589,0.173146331,0.336192696,4.48E-17
HMOX1|ERCC5,3.861738611,2.817317794,5.293341466,4.54E-17
KCNK3|WEE1,0.169032288,0.111623194,0.255967539,4.61E-17
MSR1|CTSS,4.178036887,2.992365165,5.833510037,4.61E-17
IL6|RUNX1T1,3.775474038,2.76854607,5.14862453,4.70E-17
DHRS2|CCR2,0.268402023,0.19739966,0.364943111,4.86E-17
IGFBP2|SNX10,5.665329695,3.777734574,8.496086721,4.93E-17
COL1A1|SNAP25,3.561682099,2.646966446,4.792497235,4.96E-17
PSMB9|NXPH3,3.702024258,2.726473241,5.026634189,4.98E-17
RECQL|LGALS3,0.248221166,0.179229733,0.343769676,5.01E-17
KCNK3|ITGA2,0.207679653,0.143829007,0.2998758,5.05E-17
PTPN6|GRIK2,3.679909764,2.713730794,4.990080777,5.09E-17
NOD1|GRID2,3.975692358,2.87915783,5.48984483,5.17E-17
