ID,group1,group2,batch
CGGA_601,CGGA325,CGGA325,1
CGGA_603,CGGA325,CGGA325,1
CGGA_605,CGGA325,CGGA325,1
CGGA_607,CGGA325,CGGA325,1
CGGA_632,CGGA325,CGGA325,1
CGGA_635,CGGA325,CGGA325,1
CGGA_641,CGGA325,CGGA325,1
CGGA_642,CGGA325,CGGA325,1
CGGA_655,CGGA325,CGGA325,1
CGGA_662,CGGA325,CGGA325,1
CGGA_666,CGGA325,CGGA325,1
CGGA_671,CGGA325,CGGA325,1
CGGA_675,CGGA325,CGGA325,1
CGGA_685,CGGA325,CGGA325,1
CGGA_689,CGGA325,CGGA325,1
CGGA_694,CGGA325,CGGA325,1
CGGA_698,CGGA325,CGGA325,1
CGGA_704,CGGA325,CGGA325,1
CGGA_710,CGGA325,CGGA325,1
CGGA_715,CGGA325,CGGA325,1
CGGA_725,CGGA325,CGGA325,1
CGGA_747,CGGA325,CGGA325,1
CGGA_752,CGGA325,CGGA325,1
CGGA_757,CGGA325,CGGA325,1
CGGA_760,CGGA325,CGGA325,1
CGGA_761,CGGA325,CGGA325,1
CGGA_762,CGGA325,CGGA325,1
CGGA_785,CGGA325,CGGA325,1
CGGA_812,CGGA325,CGGA325,1
CGGA_815,CGGA325,CGGA325,1
CGGA_818,CGGA325,CGGA325,1
CGGA_822,CGGA325,CGGA325,1
CGGA_834,CGGA325,CGGA325,1
CGGA_835,CGGA325,CGGA325,1
CGGA_838,CGGA325,CGGA325,1
CGGA_843,CGGA325,CGGA325,1
CGGA_856,CGGA325,CGGA325,1
CGGA_858,CGGA325,CGGA325,1
CGGA_864,CGGA325,CGGA325,1
CGGA_884,CGGA325,CGGA325,1
CGGA_892,CGGA325,CGGA325,1
CGGA_893,CGGA325,CGGA325,1
CGGA_898,CGGA325,CGGA325,1
CGGA_899,CGGA325,CGGA325,1
CGGA_904,CGGA325,CGGA325,1
CGGA_905,CGGA325,CGGA325,1
CGGA_908,CGGA325,CGGA325,1
CGGA_909,CGGA325,CGGA325,1
CGGA_D04,CGGA325,CGGA325,1
CGGA_D07,CGGA325,CGGA325,1
CGGA_D14,CGGA325,CGGA325,1
CGGA_D15,CGGA325,CGGA325,1
CGGA_D20,CGGA325,CGGA325,1
CGGA_D21,CGGA325,CGGA325,1
CGGA_D24,CGGA325,CGGA325,1
CGGA_D27,CGGA325,CGGA325,1
CGGA_D29,CGGA325,CGGA325,1
CGGA_D33,CGGA325,CGGA325,1
CGGA_D34,CGGA325,CGGA325,1
CGGA_D38,CGGA325,CGGA325,1
CGGA_D39,CGGA325,CGGA325,1
